! n m alpha seq
15 5 0.2 1
39.00	11.00	40.00	19.00	25.00	7.80	2.20	8.00	3.80	5.00
34.00	47.00	23.00	50.00	37.00	6.80	9.40	4.60	10.00	7.40
28.00	50.00	42.00	28.00	38.00	5.60	10.00	8.40	5.60	7.60
40.00	26.00	21.00	45.00	10.00	8.00	5.20	4.20	9.00	2.00
44.00	18.00	11.00	35.00	40.00	8.80	3.60	2.20	7.00	8.00
13.00	46.00	22.00	31.00	29.00	2.60	9.20	4.40	6.20	5.80
12.00	46.00	28.00	46.00	17.00	2.40	9.20	5.60	9.20	3.40
31.00	37.00	29.00	50.00	47.00	6.20	7.40	5.80	10.00	9.40
42.00	43.00	43.00	40.00	15.00	8.40	8.60	8.60	8.00	3.00
30.00	49.00	35.00	36.00	47.00	6.00	9.80	7.00	7.20	9.40
41.00	31.00	21.00	47.00	11.00	8.20	6.20	4.20	9.40	2.20
29.00	24.00	43.00	13.00	48.00	5.80	4.80	8.60	2.60	9.60
11.00	40.00	42.00	40.00	25.00	2.20	8.00	8.40	8.00	5.00
23.00	45.00	18.00	10.00	33.00	4.60	9.00	3.60	2.00	6.60
23.00	12.00	45.00	19.00	39.00	4.60	2.40	9.00	3.80	7.80
