! n m alpha seq
15 5 0.2 8
31.00	13.00	31.00	44.00	44.00	6.20	2.60	6.20	8.80	8.80
11.00	31.00	24.00	11.00	22.00	2.20	6.20	4.80	2.20	4.40
22.00	49.00	11.00	12.00	45.00	4.40	9.80	2.20	2.40	9.00
22.00	34.00	44.00	10.00	42.00	4.40	6.80	8.80	2.00	8.40
23.00	22.00	18.00	40.00	12.00	4.60	4.40	3.60	8.00	2.40
26.00	42.00	46.00	14.00	18.00	5.20	8.40	9.20	2.80	3.60
39.00	26.00	37.00	10.00	46.00	7.80	5.20	7.40	2.00	9.20
43.00	44.00	29.00	15.00	31.00	8.60	8.80	5.80	3.00	6.20
47.00	43.00	23.00	34.00	31.00	9.40	8.60	4.60	6.80	6.20
45.00	12.00	27.00	18.00	39.00	9.00	2.40	5.40	3.60	7.80
12.00	26.00	13.00	20.00	36.00	2.40	5.20	2.60	4.00	7.20
43.00	48.00	45.00	17.00	41.00	8.60	9.60	9.00	3.40	8.20
41.00	20.00	44.00	34.00	18.00	8.20	4.00	8.80	6.80	3.60
19.00	18.00	33.00	23.00	15.00	3.80	3.60	6.60	4.60	3.00
45.00	30.00	26.00	33.00	18.00	9.00	6.00	5.20	6.60	3.60
