! n m alpha seq
10 5 0.5 4
24.00	12.00	27.00	45.00	41.00	12.00	6.00	13.50	22.50	20.50
33.00	29.00	48.00	12.00	30.00	16.50	14.50	24.00	6.00	15.00
41.00	26.00	46.00	10.00	11.00	20.50	13.00	23.00	5.00	5.50
10.00	17.00	16.00	47.00	38.00	5.00	8.50	8.00	23.50	19.00
43.00	10.00	40.00	23.00	44.00	21.50	5.00	20.00	11.50	22.00
20.00	39.00	36.00	32.00	44.00	10.00	19.50	18.00	16.00	22.00
30.00	20.00	42.00	34.00	38.00	15.00	10.00	21.00	17.00	19.00
41.00	31.00	23.00	17.00	50.00	20.50	15.50	11.50	8.50	25.00
15.00	38.00	43.00	14.00	24.00	7.50	19.00	21.50	7.00	12.00
14.00	30.00	45.00	47.00	23.00	7.00	15.00	22.50	23.50	11.50
