! n m alpha seq
10 10 0.2 6
22.00	42.00	50.00	45.00	38.00	18.00	29.00	42.00	27.00	12.00	4.40	8.40	10.00	9.00	7.60	3.60	5.80	8.40	5.40	2.40
28.00	21.00	28.00	11.00	36.00	50.00	40.00	24.00	29.00	34.00	5.60	4.20	5.60	2.20	7.20	10.00	8.00	4.80	5.80	6.80
42.00	44.00	13.00	39.00	12.00	28.00	20.00	22.00	19.00	41.00	8.40	8.80	2.60	7.80	2.40	5.60	4.00	4.40	3.80	8.20
39.00	19.00	38.00	45.00	46.00	23.00	29.00	17.00	28.00	40.00	7.80	3.80	7.60	9.00	9.20	4.60	5.80	3.40	5.60	8.00
36.00	35.00	34.00	29.00	44.00	50.00	32.00	16.00	36.00	18.00	7.20	7.00	6.80	5.80	8.80	10.00	6.40	3.20	7.20	3.60
17.00	47.00	50.00	30.00	10.00	28.00	40.00	46.00	42.00	34.00	3.40	9.40	10.00	6.00	2.00	5.60	8.00	9.20	8.40	6.80
40.00	37.00	16.00	29.00	24.00	38.00	13.00	19.00	37.00	19.00	8.00	7.40	3.20	5.80	4.80	7.60	2.60	3.80	7.40	3.80
16.00	29.00	31.00	36.00	35.00	17.00	13.00	37.00	38.00	17.00	3.20	5.80	6.20	7.20	7.00	3.40	2.60	7.40	7.60	3.40
39.00	32.00	31.00	19.00	14.00	41.00	27.00	25.00	49.00	43.00	7.80	6.40	6.20	3.80	2.80	8.20	5.40	5.00	9.80	8.60
34.00	19.00	14.00	12.00	26.00	38.00	50.00	16.00	45.00	31.00	6.80	3.80	2.80	2.40	5.20	7.60	10.00	3.20	9.00	6.20
